account_id,amount,timestamp,category,is_fraud
1089,64.27,2024-01-01 00:00:00,travel,0
1773,4.19,2024-01-01 00:01:00,shopping,0
1654,34.51,2024-01-01 00:02:00,food,0
1438,163.5,2024-01-01 00:03:00,utility,0
1433,46.26,2024-01-01 00:04:00,travel,0
1858,50.53,2024-01-01 00:05:00,transfer,0
1085,15.33,2024-01-01 00:06:00,transfer,0
1697,201.39,2024-01-01 00:07:00,utility,1
1201,122.37,2024-01-01 00:08:00,food,0
1094,35.82,2024-01-01 00:09:00,food,0
1526,22.07,2024-01-01 00:10:00,food,0
1975,16.25,2024-01-01 00:11:00,shopping,0
1735,26.33,2024-01-01 00:12:00,utility,0
1761,8.34,2024-01-01 00:13:00,food,0
1717,14.06,2024-01-01 00:14:00,utility,0
1786,2.49,2024-01-01 00:15:00,food,0
1513,98.61,2024-01-01 00:16:00,travel,0
1128,4.39,2024-01-01 00:17:00,shopping,0
1839,2.66,2024-01-01 00:18:00,transfer,0
1450,97.56,2024-01-01 00:19:00,utility,0
1500,38.88,2024-01-01 00:20:00,shopping,1
1370,64.68,2024-01-01 00:21:00,food,0
1182,86.9,2024-01-01 00:22:00,travel,0
1926,34.28,2024-01-01 00:23:00,utility,0
1781,67.42,2024-01-01 00:24:00,food,0
1643,36.76,2024-01-01 00:25:00,utility,0
1402,189.7,2024-01-01 00:26:00,utility,0
1822,84.54,2024-01-01 00:27:00,utility,0
1545,18.1,2024-01-01 00:28:00,travel,0
1443,35.92,2024-01-01 00:29:00,travel,0
1450,11.09,2024-01-01 00:30:00,food,0
1227,63.58,2024-01-01 00:31:00,travel,0
1092,13.91,2024-01-01 00:32:00,shopping,0
1554,36.35,2024-01-01 00:33:00,food,0
1887,37.58,2024-01-01 00:34:00,shopping,0
1063,40.89,2024-01-01 00:35:00,travel,0
1858,14.27,2024-01-01 00:36:00,shopping,0
1827,37.35,2024-01-01 00:37:00,travel,1
1276,93.8,2024-01-01 00:38:00,transfer,0
1631,14.87,2024-01-01 00:39:00,travel,0
1165,21.39,2024-01-01 00:40:00,transfer,0
1758,60.35,2024-01-01 00:41:00,food,0
1700,11.45,2024-01-01 00:42:00,food,0
1354,151.74,2024-01-01 00:43:00,food,0
1067,72.62,2024-01-01 00:44:00,shopping,1
1970,72.85,2024-01-01 00:45:00,transfer,0
1445,62.76,2024-01-01 00:46:00,food,0
1893,18.61,2024-01-01 00:47:00,utility,0
1677,30.48,2024-01-01 00:48:00,utility,0
1778,35.86,2024-01-01 00:49:00,travel,0
1759,38.52,2024-01-01 00:50:00,travel,0
1194,69.3,2024-01-01 00:51:00,transfer,0
1363,18.76,2024-01-01 00:52:00,utility,0
1466,30.34,2024-01-01 00:53:00,travel,0
1497,174.81,2024-01-01 00:54:00,transfer,0
1043,143.46,2024-01-01 00:55:00,shopping,0
1546,17.9,2024-01-01 00:56:00,food,0
1154,55.14,2024-01-01 00:57:00,transfer,0
1743,12.42,2024-01-01 00:58:00,transfer,0
1683,20.53,2024-01-01 00:59:00,shopping,0
1922,19.56,2024-01-01 01:00:00,utility,0
1744,53.59,2024-01-01 01:01:00,travel,0
1366,132.57,2024-01-01 01:02:00,transfer,0
1967,31.87,2024-01-01 01:03:00,travel,0
1410,151.4,2024-01-01 01:04:00,travel,0
1325,111.45,2024-01-01 01:05:00,shopping,0
1905,37.74,2024-01-01 01:06:00,travel,0
1370,57.0,2024-01-01 01:07:00,utility,0
1076,47.95,2024-01-01 01:08:00,utility,0
1469,89.73,2024-01-01 01:09:00,shopping,0
1795,45.07,2024-01-01 01:10:00,utility,0
1189,35.76,2024-01-01 01:11:00,shopping,1
1462,45.83,2024-01-01 01:12:00,transfer,0
1129,43.42,2024-01-01 01:13:00,travel,0
1686,14.8,2024-01-01 01:14:00,utility,0
1475,1.22,2024-01-01 01:15:00,shopping,0
1330,25.32,2024-01-01 01:16:00,transfer,0
1226,22.36,2024-01-01 01:17:00,travel,0
1564,298.55,2024-01-01 01:18:00,food,0
1669,41.84,2024-01-01 01:19:00,transfer,0
1940,44.34,2024-01-01 01:20:00,transfer,1
1437,54.45,2024-01-01 01:21:00,utility,0
1160,59.15,2024-01-01 01:22:00,shopping,0
1832,8.78,2024-01-01 01:23:00,shopping,0
1629,32.51,2024-01-01 01:24:00,utility,0
1700,4.16,2024-01-01 01:25:00,utility,0
1097,0.07,2024-01-01 01:26:00,travel,0
1312,36.35,2024-01-01 01:27:00,food,0
1767,199.29,2024-01-01 01:28:00,food,1
1832,32.08,2024-01-01 01:29:00,travel,0
1435,3.68,2024-01-01 01:30:00,utility,0
1804,17.3,2024-01-01 01:31:00,shopping,0
1841,10.17,2024-01-01 01:32:00,utility,0
1387,64.65,2024-01-01 01:33:00,shopping,0
1898,19.16,2024-01-01 01:34:00,travel,0
1288,51.94,2024-01-01 01:35:00,utility,0
1239,27.66,2024-01-01 01:36:00,utility,0
1682,51.6,2024-01-01 01:37:00,transfer,0
1636,47.9,2024-01-01 01:38:00,transfer,0
1139,109.99,2024-01-01 01:39:00,travel,0
1832,18.41,2024-01-01 01:40:00,utility,0
1199,21.3,2024-01-01 01:41:00,travel,1
1804,32.4,2024-01-01 01:42:00,transfer,1
1007,37.12,2024-01-01 01:43:00,utility,0
1796,11.58,2024-01-01 01:44:00,transfer,0
1786,40.17,2024-01-01 01:45:00,travel,0
1780,66.65,2024-01-01 01:46:00,food,0
1664,15.02,2024-01-01 01:47:00,food,0
1471,107.5,2024-01-01 01:48:00,shopping,0
1705,89.18,2024-01-01 01:49:00,transfer,0
1277,82.59,2024-01-01 01:50:00,utility,0
1780,69.69,2024-01-01 01:51:00,transfer,0
1555,53.3,2024-01-01 01:52:00,shopping,0
1458,33.18,2024-01-01 01:53:00,transfer,0
1505,55.0,2024-01-01 01:54:00,transfer,0
1568,96.05,2024-01-01 01:55:00,travel,0
1037,28.5,2024-01-01 01:56:00,transfer,0
1139,9.14,2024-01-01 01:57:00,food,0
1245,157.39,2024-01-01 01:58:00,shopping,0
1114,129.95,2024-01-01 01:59:00,shopping,1
1439,22.48,2024-01-01 02:00:00,travel,0
1668,25.03,2024-01-01 02:01:00,transfer,0
1654,78.57,2024-01-01 02:02:00,utility,0
1471,29.33,2024-01-01 02:03:00,food,0
1855,30.25,2024-01-01 02:04:00,food,0
1565,39.49,2024-01-01 02:05:00,food,0
1079,13.58,2024-01-01 02:06:00,travel,0
1764,41.59,2024-01-01 02:07:00,food,0
1574,12.22,2024-01-01 02:08:00,travel,0
1634,22.34,2024-01-01 02:09:00,utility,0
1565,17.24,2024-01-01 02:10:00,transfer,0
1553,4.05,2024-01-01 02:11:00,utility,0
1090,104.95,2024-01-01 02:12:00,shopping,0
1559,20.0,2024-01-01 02:13:00,utility,0
1794,18.47,2024-01-01 02:14:00,transfer,0
1303,330.2,2024-01-01 02:15:00,food,1
1602,45.23,2024-01-01 02:16:00,transfer,0
1030,2.71,2024-01-01 02:17:00,utility,0
1347,28.46,2024-01-01 02:18:00,travel,0
1436,21.03,2024-01-01 02:19:00,shopping,0
1982,32.9,2024-01-01 02:20:00,shopping,0
1214,10.54,2024-01-01 02:21:00,food,0
1276,9.57,2024-01-01 02:22:00,travel,0
1408,4.83,2024-01-01 02:23:00,travel,0
1992,64.65,2024-01-01 02:24:00,food,0
1853,1.48,2024-01-01 02:25:00,shopping,0
1034,77.47,2024-01-01 02:26:00,shopping,0
1233,8.79,2024-01-01 02:27:00,travel,0
1821,72.61,2024-01-01 02:28:00,food,0
1058,64.39,2024-01-01 02:29:00,transfer,0
1855,55.49,2024-01-01 02:30:00,utility,0
1281,1.96,2024-01-01 02:31:00,shopping,0
1917,21.95,2024-01-01 02:32:00,utility,0
1293,53.44,2024-01-01 02:33:00,travel,0
1434,1.07,2024-01-01 02:34:00,travel,0
1661,19.0,2024-01-01 02:35:00,utility,0
1126,25.82,2024-01-01 02:36:00,utility,0
1557,105.11,2024-01-01 02:37:00,utility,0
1505,13.4,2024-01-01 02:38:00,shopping,0
1783,11.04,2024-01-01 02:39:00,food,0
1996,170.99,2024-01-01 02:40:00,utility,1
1664,22.85,2024-01-01 02:41:00,utility,0
1409,22.96,2024-01-01 02:42:00,shopping,0
1406,72.08,2024-01-01 02:43:00,travel,0
1417,61.43,2024-01-01 02:44:00,transfer,0
1814,29.06,2024-01-01 02:45:00,travel,0
1321,48.24,2024-01-01 02:46:00,travel,0
1166,20.35,2024-01-01 02:47:00,utility,0
1334,59.73,2024-01-01 02:48:00,shopping,0
1022,7.55,2024-01-01 02:49:00,shopping,0
1106,7.56,2024-01-01 02:50:00,utility,0
1090,22.02,2024-01-01 02:51:00,travel,0
1771,0.9,2024-01-01 02:52:00,food,0
1722,13.07,2024-01-01 02:53:00,food,0
1696,37.14,2024-01-01 02:54:00,transfer,0
1461,21.34,2024-01-01 02:55:00,shopping,0
1717,7.38,2024-01-01 02:56:00,shopping,0
1161,311.93,2024-01-01 02:57:00,travel,0
1900,98.03,2024-01-01 02:58:00,utility,0
1501,15.01,2024-01-01 02:59:00,transfer,0
1938,92.0,2024-01-01 03:00:00,utility,0
1152,128.74,2024-01-01 03:01:00,shopping,0
1497,69.57,2024-01-01 03:02:00,shopping,0
1696,2.83,2024-01-01 03:03:00,transfer,0
1495,41.75,2024-01-01 03:04:00,transfer,0
1446,36.86,2024-01-01 03:05:00,travel,0
1166,38.34,2024-01-01 03:06:00,transfer,0
1381,5.98,2024-01-01 03:07:00,transfer,0
1238,62.83,2024-01-01 03:08:00,transfer,0
1301,106.75,2024-01-01 03:09:00,food,0
1683,4.32,2024-01-01 03:10:00,food,0
1630,15.84,2024-01-01 03:11:00,travel,0
1607,0.58,2024-01-01 03:12:00,utility,1
1361,86.93,2024-01-01 03:13:00,food,0
1959,240.57,2024-01-01 03:14:00,food,0
1087,1.01,2024-01-01 03:15:00,food,0
1342,114.35,2024-01-01 03:16:00,food,1
1118,29.45,2024-01-01 03:17:00,transfer,0
1338,144.66,2024-01-01 03:18:00,utility,0
